IDx,IDy,Posix,Posiy,accuracy
5,13,-0.654,-0.478,
5,14,-0.6579999999999999,-0.428,
5,15,-0.656,-0.386,
5,16,-0.654,-0.3239999999999999,
5,17,-0.654,-0.276,
5,18,-0.652,-0.2199999999999999,
5,19,-0.652,-0.168,
5,20,-0.654,-0.1079999999999999,
5,21,-0.656,-0.058,
5,22,-0.654,0.01,
5,23,-0.654,0.062,
5,24,-0.654,0.1080000000000001,
5,25,-0.656,0.1599999999999999,
5,26,-0.6579999999999999,0.2239999999999999,
5,27,-0.656,0.27,
5,28,-0.656,0.326,
5,29,-0.6579999999999999,0.3819999999999999,
5,30,-0.656,0.4259999999999999,
5,31,-0.6579999999999999,0.482,
5,32,-0.6579999999999999,0.526,
5,33,-0.6599999999999999,0.5700000000000001,
5,34,-0.6619999999999999,0.6160000000000001,
5,35,-0.6639999999999999,0.6539999999999999,
5,36,-0.6659999999999999,0.694,
5,37,-0.6679999999999999,0.732,
5,38,-0.6699999999999999,0.766,
5,39,-0.6719999999999999,0.792,
5,40,-0.6759999999999999,0.8260000000000001,
5,41,-0.6799999999999999,0.8500000000000001,
5,42,-0.6799999999999999,0.8700000000000001,
5,43,-0.6827491240431125,0.892135430551853,
5,44,-0.6839999999999999,0.904,
6,0,-0.6471443858045823,-0.9075974088513581,
6,1,-0.644985885516036,-0.8942866570719887,
6,2,-0.644,-0.87,
6,3,-0.642,-0.852,
6,4,-0.638,-0.8260000000000001,
6,5,-0.636,-0.794,
6,6,-0.634,-0.766,
6,7,-0.632,-0.736,
6,8,-0.626,-0.692,
6,9,-0.628,-0.654,
6,10,-0.626,-0.616,
6,11,-0.626,-0.5660000000000001,
6,12,-0.624,-0.526,
6,13,-0.624,-0.48,
6,14,-0.624,-0.426,
6,15,-0.622,-0.384,
6,16,-0.622,-0.3259999999999999,
6,17,-0.622,-0.272,
6,18,-0.624,-0.2219999999999999,
6,19,-0.624,-0.164,
6,20,-0.624,-0.1059999999999999,
6,21,-0.622,-0.058,
6,22,-0.624,0.01,
6,23,-0.624,0.064,
6,24,-0.624,0.1080000000000001,
6,25,-0.624,0.1639999999999999,
6,26,-0.624,0.2219999999999999,
6,27,-0.624,0.268,
6,28,-0.624,0.326,
6,29,-0.626,0.3799999999999999,
6,30,-0.626,0.4259999999999999,
6,31,-0.628,0.482,
6,32,-0.63,0.53,
6,33,-0.63,0.5660000000000001,
6,34,-0.632,0.6140000000000001,
6,35,-0.634,0.6619999999999999,
6,36,-0.636,0.694,
6,37,-0.64,0.732,
6,38,-0.642,0.766,
6,39,-0.642,0.792,
6,40,-0.646,0.8240000000000001,
6,41,-0.648,0.8480000000000001,
6,42,-0.652,0.8700000000000001,
6,43,-0.65282246162928,0.8934754303614276,
6,44,-0.6537157948356631,0.9050887620444075,
7,0,-0.6147668814763867,-0.9083169089475402,
7,1,-0.6129681312359314,-0.8942866570719887,
7,2,-0.612,-0.872,
7,3,-0.608,-0.85,
7,4,-0.606,-0.8260000000000001,
7,5,-0.604,-0.796,
7,6,-0.602,-0.768,
